Identifier,Label,Description,Created,Modified,History notes,Type,Parent identifiers,Parent labels,Mapping type,Mapped identifier,Mapped label,Mapped type,
92,Libraries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,447,Special library collections,Service,
92,Libraries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1286,Teenagers' library services,Service,
92,Libraries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,893,Toy libraries,Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,618,Archaeology - consultancy,Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,619,Archaeology - excavations and surveys,Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,604,"Archive loans, donations, bequests and sales",Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,605,Archive withdrawals,Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,448,Archives,Service,
93,Local history and heritage,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,849,Memorial provision and maintenance,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,624,Exhibitions,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,839,Museum and gallery shops,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1018,Museum collections,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1020,Museum events and exhibitions,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,620,Museums and galleries,Service,
94,Museums and galleries,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,621,Museums and galleries - loans donations and bequests,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,510,Allotments,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,760,Coastal events,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,463,Outdoor events,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,669,Parks and open space landscaping,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,709,Parks and open space maintenance,Service,
95,Parks and open spaces,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,461,Parks and open spaces,Service,
96,"Religion, faiths and beliefs",,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,,,,,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,465,Fishing ,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1155,Gifted and talented awards,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,456,Leisure passes,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,336,Municipal golf courses,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1081,Outdoor activity centres,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,670,Outdoor play facilities,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,455,Sporting club grants,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,641,Sports club directory,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,453,Sports coaching,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,885,Sports development,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,638,Sports employment,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,881,Sports equipment hire,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,451,Sports facilities,Service,
97,Sports and leisure,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,639,Sports grants,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1108,Camping and caravan sites,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,733,Local attractions,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,827,Sale of gifts and publications,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,734,Tourist accommodation,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,623,Tourist information centres,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1117,Tourist signs,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,662,Town twinning,Service,
98,Tourism and travel,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,contains,1109,Zoos and farm parks,Service,
99,Town centres,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,,,,,
100,Venues,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,90,Leisure and culture,,,,,
101,Planning and development,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,,,,,,,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,499,Building control,Service,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1157,Building control enforcement,Service,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,600,Dangerous structures,Service,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,602,Demolition control,Service,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,603,Demolition enforcement,Service,
102,Building control,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1397,Domestic heating oil tanks,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,668,Building and landscape design,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,512,Conservation advice,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,511,Conservation areas,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,595,Geotechnonology,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1122,High hedges,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,597,Landscape character assessment,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,514,Listed buildings,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,505,Tree management,Service,
103,Conservation and regeneration,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,508,Tree preservation orders,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1082,Advertisement control,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,487,Business planning applications,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,608,Development control,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1158,Development control enforcement,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,855,Planning consultation,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,516,Planning decision notices,Service,
104,Planning applications,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,485,Residential planning applications,Service,
105,Planning policy,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,599,Statutory development plans,Service,
105,Planning policy,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1131,Sustainable development,Service,
105,Planning policy,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,515,Zoning,Service,
106,Property searches,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,672,Land charges search,Service,
106,Property searches,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1057,Planning area search,Service,
106,Property searches,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,101,Planning and development,contains,1060,Property enquiries certificates,Service,
107,Transport and streets,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,,,,,,,
108,Cycling,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1530,Cycle hire,Service,
108,Cycling,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,539,Cycle lanes and routes,Service,
108,Cycling,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,547,Cycle training,Service,
108,Cycling,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,546,Cycling and walking to school schemes,Service,
108,Cycling,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1566,Cycling schemes,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,757,Boat and trailer parking,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,762,Boat launching and recovery,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,758,Boat moorings,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,769,Boat waste disposal,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,771,Boat winter storage,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,556,Canals and waterways,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,848,Coastal protection,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,759,Cranage,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,780,Houseboats,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,779,Lifebelts,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,774,Marine docking beds,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,766,Marine storage lockers,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,770,Marine weather data,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1006,Navigation and berthing,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,764,Pilotage,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,765,Port and harbour facilities,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,773,Port arrival notification,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,775,Port consignment notification,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,777,Ports of entry - detention,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,781,Reservoir management,Service,
109,Marine and waterway services,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,767,Towing for marine vessels,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,478,Council car parks,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,114,Estate parking,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1112,Park and ride,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,474,Parking permits,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,473,Parking zones,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,475,Pavement parking,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,479,Private car parks,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,471,Street parking enforcement,Service,
110,Parking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,472,Vehicle clamping and removal,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1599,Bus lanes and routes,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,637,Bus stops and shelters,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,902,Journey planning,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,273,Older people's bus pass,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,904,Planned transport service changes,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,903,Real time transport information,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,906,"Stations, stops and shelters",Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,905,Transport service disruption information,Service,
111,Public transport,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,907,Transport tickets and passes,Service,
112,Rights of way,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,862,Local access forums,Service,
112,Rights of way,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,613,Public rights of way,Service,
112,Rights of way,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,614,Rights of way enforcement,Service,
112,Rights of way,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1120,Rights of way maintenance,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,545,Dangerous road improvements,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,783,Driver training,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,869,MOT testing,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,568,Pedestrian crossings,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,784,Road safety cameras,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1586,Roads - child play areas,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,543,Speed humps,Service,
113,Road safety,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,571,Speed limits,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,554,Bridge strengthening,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,477,Dropped kerbs,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,537,Pavement maintenance,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,536,Pavement obstructions,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,558,Pavements - personal injury,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,701,Road adoption,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,553,Road bridges,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,570,Road closures and diversions,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,557,Road maintenance,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,550,Road obstructions,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,540,Road signs,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,591,Road spillages,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,549,Road surveys,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,569,Road works notification,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,551,Roads enforcement,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,552,Roads weight limits,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1136,Stopping up orders,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,564,Street lighting,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,541,Street name plates,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,513,Street names and numbering,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,567,Traffic lights,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,908,Transport timetable information,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,574,Verge maintenance,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,563,Wall maintenance,Service,
114,Roads and pavements,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,538,Yellow lines,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1152,Abandoned shopping trolleys,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,372,Abandoned vehicles,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,785,Abnormal load notification,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,555,Drain and gully clearance,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,584,Graffiti removal,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,589,Grass cutting,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,581,Litter bins,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1138,Litter enforcement,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,580,Litter removal,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,583,Market cleaning,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,579,Public toilets,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1615,Public toilets - RADAR keys ,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,582,Street cleaning,Service,
115,Street care and cleaning,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,559,Street furniture,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1539,Business travel and commuting,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1111,Car pooling,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,542,Red routes,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1587,Road congestion reduction,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,548,Traffic schemes,Service,
116,Travel schemes,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,1132,Travel plans,Service,
117,Walking,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,,,,,
118,Winter roads,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,561,Road gritting,Service,
118,Winter roads,,2013-10-02,2013-10-02,Added in version 4.00,Website navigation,107,Transport and streets,contains,562,Snow clearance,Service,
